"","RI","Na","Mg","Al","Si","K","Ca","Ba","Fe","Type"
"1",3,1,2,1,1,2,3,1,1,1
"2",2,1,2,1,1,2,2,1,1,1
"3",1,1,2,2,1,2,2,1,1,1
"4",2,1,2,1,1,2,2,1,1,1
"5",2,1,2,1,1,2,2,1,1,1
"6",1,1,2,2,1,3,2,1,1,1
"7",2,1,2,1,1,2,2,1,1,1
"8",2,1,2,1,1,2,2,1,1,1
"9",3,1,2,1,1,2,2,1,1,1
"10",2,1,2,1,1,2,3,1,1,1
"11",1,1,2,2,1,3,2,1,1,1
"12",2,1,2,1,1,2,3,1,1,1
"13",1,1,2,2,1,3,2,1,1,1
"14",2,1,2,1,1,2,3,1,1,1
"15",2,1,2,1,1,2,3,1,1,1
"16",2,1,2,1,1,2,3,1,1,1
"17",2,1,2,1,1,2,3,1,1,1
"18",3,2,2,1,1,2,3,1,1,1
"19",3,1,2,1,1,2,3,1,1,1
"20",2,1,2,2,1,2,3,1,1,1
"21",2,1,2,2,1,2,3,1,1,1
"22",3,2,2,1,1,1,3,1,1,1
"23",2,1,2,1,1,2,3,1,1,1
"24",2,1,2,1,1,3,3,1,1,1
"25",1,1,2,1,1,2,3,1,1,1
"26",2,1,2,1,1,3,3,1,1,1
"27",2,1,2,2,1,2,3,1,1,1
"28",1,1,2,1,1,2,3,1,1,1
"29",2,1,2,2,1,2,3,1,1,1
"30",2,1,2,1,1,2,3,1,1,1
"31",2,1,2,1,1,2,3,1,1,1
"32",2,1,2,1,1,2,3,1,1,1
"33",2,1,2,1,1,2,3,1,1,1
"34",2,1,2,1,1,2,3,1,1,1
"35",2,1,2,1,1,2,3,1,1,1
"36",1,1,2,1,1,2,3,1,1,1
"37",3,1,2,1,1,2,3,1,1,1
"38",2,1,2,1,1,3,3,1,1,1
"39",3,2,2,1,1,2,3,1,1,1
"40",3,2,2,1,1,2,3,1,1,1
"41",2,1,2,1,1,3,3,1,1,1
"42",2,1,2,1,1,2,3,1,1,1
"43",2,1,2,1,1,2,3,1,1,1
"44",3,1,2,1,1,2,3,1,1,1
"45",2,1,2,1,1,3,3,1,1,1
"46",3,1,2,1,1,2,3,1,1,1
"47",3,1,2,1,1,2,3,1,1,1
"48",3,1,2,1,1,1,3,1,1,1
"49",3,1,2,1,1,2,3,1,1,1
"50",3,1,2,1,1,2,3,1,1,1
"51",3,1,2,1,1,2,3,1,1,1
"52",3,1,2,1,1,2,3,1,1,1
"53",3,1,2,1,1,2,3,1,1,1
"54",3,1,2,1,1,2,3,1,1,1
"55",2,1,2,1,1,2,3,1,1,1
"56",2,1,2,1,1,2,3,1,1,1
"57",1,1,2,1,1,3,3,1,1,1
"58",3,1,2,1,1,2,3,1,1,1
"59",2,1,2,1,1,2,2,1,1,1
"60",2,1,2,1,1,2,2,1,1,1
"61",3,1,2,1,1,2,3,1,1,1
"62",3,1,2,1,1,2,3,2,1,1
"63",3,1,2,1,1,2,3,1,1,1
"64",3,2,2,1,1,1,3,1,1,1
"65",3,1,2,1,1,2,3,1,1,1
"66",3,1,2,1,1,2,3,1,1,1
"67",3,1,2,1,1,2,3,1,1,1
"68",3,1,2,1,1,2,3,1,1,1
"69",3,1,2,1,1,2,3,1,1,1
"70",3,1,2,1,1,2,4,1,1,1
"71",1,2,2,2,1,2,2,1,1,2
"72",3,1,2,1,1,2,3,1,1,2
"73",1,1,2,2,1,3,2,1,1,2
"74",1,1,2,2,1,2,2,1,1,2
"75",1,1,2,2,1,3,2,1,1,2
"76",1,1,2,2,1,3,2,1,1,2
"77",1,1,2,2,1,3,2,1,1,2
"78",1,1,2,2,1,2,2,1,1,2
"79",1,1,2,1,1,2,2,1,1,2
"80",1,1,2,3,1,3,2,1,1,2
"81",1,1,2,3,1,3,2,1,1,2
"82",1,1,2,2,1,2,2,1,1,2
"83",1,1,2,1,1,3,2,1,1,2
"84",1,1,2,2,1,3,2,1,1,2
"85",1,2,2,3,1,4,2,1,1,2
"86",1,1,2,2,1,2,2,1,1,2
"87",1,1,2,2,1,2,2,1,1,2
"88",1,1,2,2,1,3,2,1,1,2
"89",1,1,2,2,1,2,2,1,1,2
"90",1,1,2,3,1,3,2,1,1,2
"91",3,1,2,1,1,3,3,1,1,2
"92",1,1,2,2,1,2,2,1,1,2
"93",1,1,2,2,1,2,3,1,1,2
"94",1,1,2,2,1,2,2,1,1,2
"95",1,1,2,2,1,3,2,1,1,2
"96",3,1,2,2,1,2,3,1,1,2
"97",3,1,2,1,1,3,3,1,1,2
"98",2,1,2,1,1,3,3,1,1,2
"99",1,1,2,2,1,3,3,1,1,2
"100",3,1,2,2,1,2,3,1,1,2
"101",1,1,2,2,1,2,3,1,1,2
"102",1,1,2,2,1,3,3,1,1,2
"103",3,1,2,1,1,2,3,1,1,2
"104",3,1,2,1,1,2,4,1,1,2
"105",3,1,2,1,1,2,4,1,1,2
"106",3,1,1,3,1,4,4,1,1,2
"107",3,1,1,3,1,2,4,2,1,2
"108",3,1,1,1,1,2,4,1,1,2
"109",3,2,1,1,1,2,4,1,1,2
"110",3,1,1,1,1,1,4,1,1,2
"111",3,1,1,1,1,1,4,1,1,2
"112",3,1,1,1,1,1,4,1,1,2
